campaign_id,campaign_name,date,day_number,daily_spend,cum_spend,total_budget,daily_budget_target,expected_cum_spend,pacing_pct,health_band,is_ground_truth_flagged
2,Innovate E-Business Applications Campaign,2026-01-29,60,265.22,15640.02,11279.21,187.99,11279.4,138.7,Overpacing,True
1,Whiteboard One-To-One Web-Readiness Campaign,2026-01-29,60,131.12,8374.24,6125.48,102.09,6125.4,136.7,Overpacing,True
6,Engineer Cross-Platform Platforms Campaign,2026-01-29,60,587.06,37777.5,37220.88,620.35,37221.0,101.5,Healthy,False
14,Scale Magnetic Methodologies Campaign,2026-01-29,60,745.57,45539.82,44845.33,747.42,44845.2,101.5,Healthy,False
10,Repurpose Bleeding-Edge Technologies Campaign,2026-01-29,60,168.6,9724.81,9599.46,159.99,9599.4,101.3,Healthy,False
17,Orchestrate Back-End Channels Campaign,2026-01-29,60,402.15,22244.27,22105.68,368.43,22105.8,100.6,Healthy,False
7,Iterate Cross-Media Metrics Campaign,2026-01-29,60,266.57,14987.15,14919.83,248.66,14919.6,100.5,Healthy,False
11,Synergize Efficient Bandwidth Campaign,2026-01-29,60,687.63,43316.71,43137.25,718.95,43137.0,100.4,Healthy,False
18,Morph Cutting-Edge Applications Campaign,2026-01-29,60,206.78,12354.01,12319.43,205.32,12319.2,100.3,Healthy,False
16,Maximize Turn-Key E-Tailers Campaign,2026-01-29,60,637.13,39730.09,39788.08,663.13,39787.8,99.9,Healthy,False
5,Implement Granular E-Commerce Campaign,2026-01-29,60,447.72,27620.94,27740.99,462.35,27741.0,99.6,Healthy,False
12,Repurpose Real-Time Methodologies Campaign,2026-01-29,60,594.39,37702.0,37837.93,630.63,37837.8,99.6,Healthy,False
9,Re-Intermediate Bricks-And-Clicks Networks Campaign,2026-01-29,60,320.55,20211.4,20311.27,338.52,20311.2,99.5,Healthy,False
15,Enhance Robust Vortals Campaign,2026-01-29,60,578.51,36498.11,36705.73,611.76,36705.6,99.4,Healthy,False
8,Incubate 24/7 Architectures Campaign,2026-01-29,60,661.65,38909.05,39146.33,652.44,39146.4,99.4,Healthy,False
13,Incentivize Granular Bandwidth Campaign,2026-01-29,60,142.03,8470.95,8546.01,142.43,8545.8,99.1,Healthy,False
3,Enhance Proactive Schemas Campaign,2026-01-29,60,502.59,29361.54,45148.08,752.47,45148.2,65.0,Underpacing,True
4,Incubate Next-Generation E-Services Campaign,2026-01-29,60,76.14,3958.7599999999998,6430.22,107.17,6430.2,61.6,Underpacing,True
